1,Wenzhou
2,Shanghai
3,Chongqing
4,Arizona-Maricopa
5,Arizona-Pima
6,Arizona-Pinal
7,Arkansas-Jefferson
8,California-Alameda
9,California-Contra Costa
10,California-Fresno
11,California-Humboldt
12,California-Los Angeles
13,California-Madera
14,California-Orange
15,California-Placer
16,California-Riverside
17,California-Sacramento
18,California-San Benito
19,California-San Diego
20,California-San Francisco
21,California-San Mateo
22,California-Santa Clara
23,California-Santa Cruz
24,California-Shasta
25,California-Solano
26,California-Sonoma
27,California-Ventura
28,California-Yolo
29,Colorado-Arapahoe
30,Colorado-Denver
31,Colorado-Douglas
32,Colorado-Eagle
33,Colorado-El Paso
34,Colorado-Gunnison
35,Colorado-Jefferson
36,Colorado-Larimer
37,Connecticut-Fairfield
38,Connecticut-Litchfield
39,Florida-Alachua
40,Florida-Broward
41,Florida-Charlotte
42,Florida-Clay
43,Florida-Collier
44,Florida-Duval
45,Florida-Hillsborough
46,Florida-Nassau
47,Florida-Okaloosa
48,Florida-Pasco
49,Florida-Pinellas
50,Florida-Santa Rosa
51,Florida-Sarasota
52,Florida-Seminole
53,Florida-Volusia
54,Georgia-Bartow
55,Georgia-Charlton
56,Georgia-Cherokee
57,Georgia-Cobb
58,Georgia-DeKalb
59,Georgia-Floyd
60,Georgia-Fulton
61,Georgia-Gordon
62,Georgia-Gwinnett
63,Georgia-Lee
64,Georgia-Lowndes
65,Illinois-Cook
66,Illinois-Kane
67,Illinois-McHenry
68,Indiana-Adams
69,Indiana-Boone
70,Indiana-Hendricks
71,Indiana-Howard
72,Indiana-Johnson
73,Indiana-Marion
74,Indiana-Noble
75,Iowa-Johnson
76,Iowa-Pottawattamie
77,Kansas-Johnson
78,Kentucky-Jefferson
79,Louisiana-Caddo
80,Louisiana-Jefferson
81,Louisiana-Orleans
82,Maryland-Baltimore-city
83,Maryland-Harford
84,Maryland-Montgomery
85,Maryland-Prince George's
86,Massachusetts-Berkshire
87,Massachusetts-Essex
88,Massachusetts-Middlesex
89,Massachusetts-Norfolk
90,Massachusetts-Worcester
91,Michigan-Oakland
92,Michigan-Wayne
93,Minnesota-Anoka
94,Minnesota-Ramsey
95,Missouri-St. Louis
96,Nebraska-Douglas
97,Nebraska-Knox
98,Nevada-Clark
99,Nevada-Washoe
100,New Hampshire-Grafton
101,New Hampshire-Rockingham
102,New Jersey-Bergen
103,New Jersey-Burlington
104,New Jersey-Hudson
105,New Jersey-Monmouth
106,New Jersey-Passaic
107,New Jersey-Union
108,New Mexico-Bernalillo
109,New Mexico-Santa Fe
110,New Mexico-Socorro
111,New York-Nassau
112,New York-New York
113,New York-Rockland
114,New York-Saratoga
115,New York-Suffolk
116,New York-Ulster
117,New York-Westchester
118,North Carolina-Chatham
119,North Carolina-Forsyth
120,North Carolina-Johnston
121,North Carolina-Mecklenburg
122,North Carolina-Onslow
123,North Carolina-Wake
124,Ohio-Cuyahoga
125,Ohio-Stark
126,Oklahoma-Tulsa
127,Oregon-Deschutes
128,Oregon-Douglas
129,Oregon-Jackson
130,Oregon-Klamath
131,Oregon-Marion
132,Oregon-Multnomah
133,Oregon-Polk
134,Oregon-Umatilla
135,Oregon-Washington
136,Pennsylvania-Bucks
137,Pennsylvania-Delaware
138,Pennsylvania-Monroe
139,Pennsylvania-Montgomery
140,Pennsylvania-Philadelphia
141,Pennsylvania-Wayne
142,Rhode Island-Providence
143,South Carolina-Charleston
144,South Carolina-Kershaw
145,South Carolina-Lancaster
146,South Carolina-Spartanburg
147,South Dakota-Beadle
148,South Dakota-Charles Mix
149,South Dakota-Davison
150,South Dakota-Minnehaha
151,South Dakota-Pennington
152,Tennessee-Davidson
153,Tennessee-Shelby
154,Tennessee-Sullivan
155,Tennessee-Williamson
156,Texas-Collin
157,Texas-Dallas
158,Texas-Fort Bend
159,Texas-Gregg
160,Texas-Harris
161,Texas-Montgomery
162,Texas-Tarrant
163,Utah-Davis
164,Utah-Weber
165,Vermont-Bennington
166,Virginia-Arlington
167,Virginia-Fairfax
168,Virginia-Loudoun
169,Washington-Clark
170,Washington-Grant
171,Washington-Island
172,Washington-Jefferson
173,Washington-King
174,Washington-Kitsap
175,Washington-Kittitas
176,Washington-Pierce
177,Washington-Skagit
178,Washington-Whatcom
179,Wisconsin-Dane
180,Wisconsin-Pierce
181,California-Imperial
182,California-Marin
183,California-San Luis Obispo
184,Colorado-Summit
185,Florida-Escambia
186,Florida-Lake
187,Florida-Lee
188,Florida-Manatee
189,Florida-Sumter
190,Georgia-Coweta
191,Georgia-Fayette
192,Georgia-Polk
193,Kentucky-Harrison
194,Louisiana-Ascension
195,Massachusetts-Suffolk
196,New Jersey-Camden
197,North Carolina-Cabarrus
198,North Carolina-Durham
199,Virginia-Henrico
200,Washington-Snohomish
